xe   ye   ze  theta_0   theta_1   theta_2   theta_3
18 10 6 0.321751 1.572748 1.285053 0.000000 
18 10 8 0.418224 1.519474 1.339805 0.000000 
18 10 10 0.507098 1.454603 1.410773 0.000000 
18 10 12 0.588003 1.379684 1.498537 0.000000 
18 10 14 0.661043 1.295712 1.604138 0.000000 
18 10 16 0.726642 1.202860 1.729492 0.000000 
18 10 18 0.785398 1.100119 1.878187 0.000000 
18 10 20 0.837981 0.984486 2.057315 0.000000 
18 12 20 0.837981 0.988127 2.211702 0.000000 
18 12 18 0.785398 1.113847 2.018551 0.000000 
18 12 16 0.726642 1.222909 1.863353 0.000000 
18 12 14 0.661043 1.320024 1.735243 0.000000 
18 12 12 0.588003 1.406871 1.629003 0.000000 
18 12 10 0.507098 1.483612 1.541821 0.000000 
18 12 8 0.418224 1.549486 1.472064 0.000000 
18 12 6 0.321751 1.603162 1.418710 0.000000 
18 12 4 0.218669 1.643066 1.381076 0.000000 
18 12 2 0.110657 1.667718 1.358689 0.000000 
18 12 0 0.000000 1.676063 1.351259 0.000000 
18 14 0 0.000000 1.681127 1.507049 0.000000 
18 14 2 0.110657 1.672915 1.514320 0.000000 
18 14 4 0.218669 1.648594 1.536279 0.000000 
18 14 6 0.321751 1.609023 1.573370 0.000000 
18 14 8 0.418224 1.555404 1.626327 0.000000 
18 14 10 0.507098 1.488990 1.696228 0.000000 
18 14 12 0.588003 1.410750 1.784671 0.000000 
18 14 14 0.661043 1.320996 1.894184 0.000000 
18 14 16 0.726642 1.218843 2.029153 0.000000 
18 14 18 0.785398 1.101058 2.198165 0.000000 
18 14 20 0.837981 0.958298 2.421881 0.000000 
18 16 20 0.837981 0.858172 2.764593 0.000000 
18 16 18 0.785398 1.050240 2.441519 0.000000 
18 16 16 0.726642 1.184916 2.239861 0.000000 
18 16 14 0.661043 1.295402 2.089274 0.000000 
18 16 12 0.588003 1.389579 1.971456 0.000000 
18 16 10 0.507098 1.470034 1.878511 0.000000 
18 16 8 0.418224 1.537322 1.806246 0.000000 
18 16 6 0.321751 1.591036 1.752140 0.000000 
18 16 4 0.218669 1.630346 1.714558 0.000000 
18 16 2 0.110657 1.654372 1.692427 0.000000 
18 16 0 0.000000 1.662461 1.685119 0.000000 
18 18 0 0.000000 1.619389 1.891838 0.000000 
18 18 2 0.110657 1.611315 1.899496 0.000000 
18 18 4 0.218669 1.587250 1.922768 0.000000 
18 18 6 0.321751 1.547597 1.962575 0.000000 
